time,open,high,low,close,tick_volume,spread,real_volume,time_utc,time_server
1786651200,4367.02,4373.3,4365.08,4371.44,6047,20,0,2026-08-13 20:00:00,2026-08-13 23:00:00
1786652100,4371.44,4371.88,4362.42,4363.11,6508,20,0,2026-08-13 20:15:00,2026-08-13 23:15:00
1786653000,4363.11,4364.42,4355.68,4357.18,6274,20,0,2026-08-13 20:30:00,2026-08-13 23:30:00
1786653900,4357.19,4360.04,4355.72,4355.95,5398,20,0,2026-08-13 20:45:00,2026-08-13 23:45:00
1786654800,4355.95,4362.75,4355.88,4361.99,6299,20,0,2026-08-13 21:00:00,2026-08-14 00:00:00
1786655700,4361.98,4363.58,4354.72,4357.56,5900,20,0,2026-08-13 21:15:00,2026-08-14 00:15:00
1786656600,4357.54,4360.33,4356.39,4357.91,5266,20,0,2026-08-13 21:30:00,2026-08-14 00:30:00
1786657500,4357.9,4358.22,4354.69,4356.98,4607,20,0,2026-08-13 21:45:00,2026-08-14 00:45:00
1786658400,4356.98,4358.91,4346.23,4346.85,5358,20,0,2026-08-13 22:00:00,2026-08-14 01:00:00
1786659300,4346.8,4351.63,4343.74,4351.48,6743,20,0,2026-08-13 22:15:00,2026-08-14 01:15:00
1786660200,4351.52,4354.16,4349.72,4351.35,5408,20,0,2026-08-13 22:30:00,2026-08-14 01:30:00
1786661100,4351.35,4351.42,4347.71,4350.1,5979,20,0,2026-08-13 22:45:00,2026-08-14 01:45:00
1786662000,4350.06,4350.58,4346.92,4350.33,3312,20,0,2026-08-13 23:00:00,2026-08-14 02:00:00
1786662900,4350.32,4352.23,4349.34,4351.6,2405,20,0,2026-08-13 23:15:00,2026-08-14 02:15:00
1786663800,4351.57,4351.68,4347.91,4349.47,2558,25,0,2026-08-13 23:30:00,2026-08-14 02:30:00
1786664700,4349.48,4350.73,4348.66,4350.46,2255,25,0,2026-08-13 23:45:00,2026-08-14 02:45:00
1786669200,4353.72,4356.87,4351.87,4354.06,3089,25,0,2026-08-14 01:00:00,2026-08-14 04:00:00
